   state_name   |             name             
----------------+------------------------------
 ALABAMA        | Flint City
 ALABAMA        | Frisco City
 ALABAMA        | Garden City
 ALABAMA        | Hobson City
 ALABAMA        | Midland City
 ALABAMA        | Reece City
 ALABAMA        | Sardis City
 ARIZONA        | Arizona City
 ARIZONA        | Black Canyon City
 ARIZONA        | Central Heights-Midland City
 ARIZONA        | Colorado City
 ARIZONA        | Huachuca City
 ARIZONA        | Sun City
 ARIZONA        | Tuba City
 ARKANSAS       | Bluff City
 ARKANSAS       | Central City
 ARKANSAS       | College City
 ARKANSAS       | Lake City
 CALIFORNIA     | Big Bear City
 CALIFORNIA     | Ford City
 CALIFORNIA     | Hamilton City
 CALIFORNIA     | Kettleman City
 CALIFORNIA     | South Yuba City
 CALIFORNIA     | Sun City
 CALIFORNIA     | Sunnyside-Tahoe City
 CALIFORNIA     | Tuolumne City
 COLORADO       | Bonanza City
 COLORADO       | Colorado City
 COLORADO       | Garden City
 COLORADO       | Lake City
 COLORADO       | Orchard City
 COLORADO       | Sugar City
 CONNECTICUT    | Jewett City
 FLORIDA        | Carol City
 FLORIDA        | Cross City
 FLORIDA        | Floral City
 FLORIDA        | Forest City
 FLORIDA        | Grove City
 FLORIDA        | Highland City
 FLORIDA        | Kenneth City
 FLORIDA        | Leisure City
 FLORIDA        | Ocean City
 FLORIDA        | Palm City
 FLORIDA        | Polk City
 FLORIDA        | St. James City
 FLORIDA        | White City
 GEORGIA        | Bibb City
 GEORGIA        | Iron City
 GEORGIA        | Junction City
 GEORGIA        | Mountain City
 GEORGIA        | Sale City
 HAWAII         | Lanai City
 HAWAII         | Makakilo City
 HAWAII         | Pearl City
 ILLINOIS       | Beecher City
 ILLINOIS       | Belle Prairie City
 ILLINOIS       | Central City
 ILLINOIS       | Clay City
 ILLINOIS       | Coal City
 ILLINOIS       | Crescent City
 ILLINOIS       | Dalton City
 ILLINOIS       | Fairmont City
 ILLINOIS       | Forest City
 ILLINOIS       | Hanna City
 ILLINOIS       | Junction City
 ILLINOIS       | National City
 ILLINOIS       | Norris City
 ILLINOIS       | North City
 ILLINOIS       | Pearl City
 ILLINOIS       | Piper City
 ILLINOIS       | Prairie City
 ILLINOIS       | Rapids City
 ILLINOIS       | Rock City
 ILLINOIS       | Schram City
 ILLINOIS       | Standard City
 ILLINOIS       | Valley City
 ILLINOIS       | Wayne City
 ILLINOIS       | West City
 ILLINOIS       | White City
 ILLINOIS       | Yates City
 INDIANA        | Cambridge City
 INDIANA        | Clay City
 INDIANA        | Fountain City
 INDIANA        | Monroe City
 INDIANA        | Parker City
 INDIANA        | Rome City
 INDIANA        | State Line City
 INDIANA        | Switz City
 INDIANA        | Windfall City
 KENTUCKY       | Whitley City
 LOUISIANA      | Amite City
 LOUISIANA      | Bridge City
 LOUISIANA      | Junction City
 LOUISIANA      | Oil City
 MARYLAND       | Chesapeake City
 MARYLAND       | Cottage City
 MARYLAND       | Ellicott City
 MARYLAND       | Maryland City
 MARYLAND       | Ocean City
 MARYLAND       | West Ocean City
 MICHIGAN       | Beal City
 MICHIGAN       | Cass City
 MICHIGAN       | Cement City
 MICHIGAN       | Copper City
 MICHIGAN       | Howard City
 MICHIGAN       | Kent City
 MICHIGAN       | Mackinaw City
 MICHIGAN       | Minden City
 MICHIGAN       | Union City
 MISSISSIPPI    | Calhoun City
 MISSISSIPPI    | Morgan City
 MISSISSIPPI    | Silver City
 MISSOURI       | Bates City
 MISSOURI       | Benton City
 MISSOURI       | Bragg City
 MISSOURI       | Cobalt City
 MISSOURI       | Ford City
 MISSOURI       | Grant City
 MISSOURI       | Gunn City
 MISSOURI       | Hay-Wood City
 MISSOURI       | Junction City
 MISSOURI       | Kingdom City
 MISSOURI       | Phelps City
 MISSOURI       | South West City
 MISSOURI       | Stark City
 MISSOURI       | Wilson City
 MONTANA        | Virginia City
 NEBRASKA       | Howard City
 NEBRASKA       | Mason City
 NEBRASKA       | Republican City
 NEBRASKA       | Rising City
 NEBRASKA       | Steele City
 NEVADA         | New Washoe City
 NEW JERSEY     | Neptune City
 NEW JERSEY     | Surf City
 NEW MEXICO     | Silver City
 NEW YORK       | Garden City
 NEW YORK       | Johnson City
 NEW YORK       | New City
 NORTH CAROLINA | Boger City
 NORTH CAROLINA | Bryson City
 NORTH CAROLINA | Cove City
 NORTH CAROLINA | Elm City
 NORTH CAROLINA | Forest City
 NORTH CAROLINA | James City
 NORTH CAROLINA | Morehead City
 NORTH CAROLINA | Oak City
 NORTH CAROLINA | Siler City
 NORTH CAROLINA | Silver City
 NORTH CAROLINA | Surf City
 NORTH CAROLINA | Tabor City
 OHIO           | Beach City
 OHIO           | Crown City
 OHIO           | Dexter City
 OHIO           | Jerry City
 OHIO           | Junction City
 OHIO           | Lore City
 OHIO           | Miller City
 OHIO           | Mineral City
 OHIO           | Murray City
 OHIO           | Ohio City
 OHIO           | Plain City
 OHIO           | Pleasant City
 OHIO           | Quaker City
 OHIO           | Tremont City
 OHIO           | Union City
 OKLAHOMA       | Cimarron City
 OKLAHOMA       | Custer City
 OKLAHOMA       | Dill City
 OKLAHOMA       | Elmore City
 OKLAHOMA       | Empire City
 OKLAHOMA       | Marble City
 OKLAHOMA       | Ratliff City
 OKLAHOMA       | Strong City
 OKLAHOMA       | Union City
 OKLAHOMA       | Webb City
 OKLAHOMA       | Wright City
 OREGON         | Canyon City
 OREGON         | Tri-City
 OREGON         | White City
 PENNSYLVANIA   | Broad Top City
 PENNSYLVANIA   | Central City
 PENNSYLVANIA   | Dickson City
 PENNSYLVANIA   | Ellwood City
 PENNSYLVANIA   | Evans City
 PENNSYLVANIA   | Fayette City
 PENNSYLVANIA   | Ford City
 PENNSYLVANIA   | Forest City
 PENNSYLVANIA   | Grove City
 PENNSYLVANIA   | Homer City
 PENNSYLVANIA   | Karns City
 PENNSYLVANIA   | Lake City
 PENNSYLVANIA   | Lumber City
 PENNSYLVANIA   | Mahanoy City
 PENNSYLVANIA   | Spring City
 PENNSYLVANIA   | Tower City
 PENNSYLVANIA   | Union City
 SOUTH CAROLINA | Garden City
 SOUTH DAKOTA   | Claire City
