   state_name   |             name             |  type   
----------------+------------------------------+---------
 ALABAMA        | Flint City                   | town
 ALABAMA        | Frisco City                  | town
 ALABAMA        | Garden City                  | town
 ALABAMA        | Hobson City                  | town
 ALABAMA        | Midland City                 | town
 ALABAMA        | Reece City                   | town
 ALABAMA        | Sardis City                  | town
 ARIZONA        | Arizona City                 | CDP
 ARIZONA        | Black Canyon City            | CDP
 ARIZONA        | Central Heights-Midland City | CDP
 ARIZONA        | Colorado City                | town
 ARIZONA        | Huachuca City                | town
 ARIZONA        | Sun City                     | CDP
 ARIZONA        | Tuba City                    | CDP
 ARKANSAS       | Bluff City                   | town
 ARKANSAS       | Central City                 | town
 ARKANSAS       | College City                 | town
 ARKANSAS       | Lake City                    | town
 CALIFORNIA     | Big Bear City                | CDP
 CALIFORNIA     | Ford City                    | CDP
 CALIFORNIA     | Hamilton City                | CDP
 CALIFORNIA     | Kettleman City               | CDP
 CALIFORNIA     | South Yuba City              | CDP
 CALIFORNIA     | Sun City                     | CDP
 CALIFORNIA     | Sunnyside-Tahoe City         | CDP
 CALIFORNIA     | Tuolumne City                | CDP
 COLORADO       | Bonanza City                 | town
 COLORADO       | Colorado City                | CDP
 COLORADO       | Garden City                  | town
 COLORADO       | Lake City                    | town
 COLORADO       | Orchard City                 | town
 COLORADO       | Sugar City                   | town
 CONNECTICUT    | Jewett City                  | borough
 FLORIDA        | Carol City                   | CDP
 FLORIDA        | Cross City                   | town
 FLORIDA        | Floral City                  | CDP
 FLORIDA        | Forest City                  | CDP
 FLORIDA        | Grove City                   | CDP
 FLORIDA        | Highland City                | CDP
 FLORIDA        | Kenneth City                 | town
 FLORIDA        | Leisure City                 | CDP
 FLORIDA        | Ocean City                   | CDP
 FLORIDA        | Palm City                    | CDP
 FLORIDA        | Polk City                    | town
 FLORIDA        | St. James City               | CDP
 FLORIDA        | White City                   | CDP
 GEORGIA        | Bibb City                    | town
 GEORGIA        | Iron City                    | town
 GEORGIA        | Junction City                | town
 GEORGIA        | Mountain City                | town
 GEORGIA        | Sale City                    | town
 HAWAII         | Lanai City                   | CDP
 HAWAII         | Makakilo City                | CDP
 HAWAII         | Pearl City                   | CDP
 ILLINOIS       | Beecher City                 | village
 ILLINOIS       | Belle Prairie City           | town
 ILLINOIS       | Central City                 | village
 ILLINOIS       | Clay City                    | village
 ILLINOIS       | Coal City                    | village
 ILLINOIS       | Crescent City                | village
 ILLINOIS       | Dalton City                  | village
 ILLINOIS       | Fairmont City                | village
 ILLINOIS       | Forest City                  | village
 ILLINOIS       | Hanna City                   | village
 ILLINOIS       | Junction City                | village
 ILLINOIS       | National City                | village
 ILLINOIS       | Norris City                  | village
 ILLINOIS       | North City                   | village
 ILLINOIS       | Pearl City                   | village
 ILLINOIS       | Piper City                   | village
 ILLINOIS       | Prairie City                 | village
 ILLINOIS       | Rapids City                  | village
 ILLINOIS       | Rock City                    | village
 ILLINOIS       | Schram City                  | village
 ILLINOIS       | Standard City                | village
 ILLINOIS       | Valley City                  | village
 ILLINOIS       | Wayne City                   | village
 ILLINOIS       | West City                    | village
 ILLINOIS       | White City                   | village
 ILLINOIS       | Yates City                   | village
 INDIANA        | Cambridge City               | town
 INDIANA        | Clay City                    | town
 INDIANA        | Fountain City                | town
 INDIANA        | Monroe City                  | town
 INDIANA        | Parker City                  | town
 INDIANA        | Rome City                    | town
 INDIANA        | State Line City              | town
 INDIANA        | Switz City                   | town
 INDIANA        | Windfall City                | town
 KENTUCKY       | Whitley City                 | CDP
 LOUISIANA      | Amite City                   | town
 LOUISIANA      | Bridge City                  | CDP
 LOUISIANA      | Junction City                | village
 LOUISIANA      | Oil City                     | town
 MARYLAND       | Chesapeake City              | town
 MARYLAND       | Cottage City                 | town
 MARYLAND       | Ellicott City                | CDP
 MARYLAND       | Maryland City                | CDP
 MARYLAND       | Ocean City                   | town
 MARYLAND       | West Ocean City              | CDP
 MICHIGAN       | Beal City                    | CDP
 MICHIGAN       | Cass City                    | village
 MICHIGAN       | Cement City                  | village
 MICHIGAN       | Copper City                  | village
 MICHIGAN       | Howard City                  | village
 MICHIGAN       | Kent City                    | village
 MICHIGAN       | Mackinaw City                | village
 MICHIGAN       | Minden City                  | village
 MICHIGAN       | Union City                   | village
 MISSISSIPPI    | Calhoun City                 | town
 MISSISSIPPI    | Morgan City                  | town
 MISSISSIPPI    | Silver City                  | town
 MISSOURI       | Bates City                   | village
 MISSOURI       | Benton City                  | town
 MISSOURI       | Bragg City                   | town
 MISSOURI       | Cobalt City                  | village
 MISSOURI       | Ford City                    | town
 MISSOURI       | Grant City                   | town
 MISSOURI       | Gunn City                    | village
 MISSOURI       | Hay-Wood City                | village
 MISSOURI       | Junction City                | village
 MISSOURI       | Kingdom City                 | village
 MISSOURI       | Phelps City                  | town
 MISSOURI       | South West City              | town
 MISSOURI       | Stark City                   | town
 MISSOURI       | Wilson City                  | town
 MONTANA        | Virginia City                | town
 NEBRASKA       | Howard City                  | village
 NEBRASKA       | Mason City                   | village
 NEBRASKA       | Republican City              | village
 NEBRASKA       | Rising City                  | village
 NEBRASKA       | Steele City                  | village
 NEVADA         | Carson City                  | 
 NEVADA         | New Washoe City              | CDP
 NEW JERSEY     | Neptune City                 | borough
 NEW JERSEY     | Surf City                    | borough
 NEW MEXICO     | Silver City                  | town
 NEW YORK       | Garden City                  | village
 NEW YORK       | Johnson City                 | village
 NEW YORK       | New City                     | CDP
 NORTH CAROLINA | Boger City                   | CDP
 NORTH CAROLINA | Bryson City                  | town
 NORTH CAROLINA | Cove City                    | town
 NORTH CAROLINA | Elm City                     | town
 NORTH CAROLINA | Forest City                  | town
 NORTH CAROLINA | James City                   | CDP
 NORTH CAROLINA | Morehead City                | town
 NORTH CAROLINA | Oak City                     | town
 NORTH CAROLINA | Siler City                   | town
 NORTH CAROLINA | Silver City                  | CDP
 NORTH CAROLINA | Surf City                    | town
 NORTH CAROLINA | Tabor City                   | town
 OHIO           | Beach City                   | village
 OHIO           | Crown City                   | village
 OHIO           | Dexter City                  | village
 OHIO           | Jerry City                   | village
 OHIO           | Junction City                | village
 OHIO           | Lore City                    | village
 OHIO           | Miller City                  | village
 OHIO           | Mineral City                 | village
 OHIO           | Murray City                  | village
 OHIO           | Ohio City                    | village
 OHIO           | Plain City                   | village
 OHIO           | Pleasant City                | village
 OHIO           | Quaker City                  | village
 OHIO           | Tremont City                 | village
 OHIO           | Union City                   | village
 OKLAHOMA       | Cimarron City                | town
 OKLAHOMA       | Custer City                  | town
 OKLAHOMA       | Dill City                    | town
 OKLAHOMA       | Elmore City                  | town
 OKLAHOMA       | Empire City                  | town
 OKLAHOMA       | Marble City                  | town
 OKLAHOMA       | Ratliff City                 | town
 OKLAHOMA       | Strong City                  | town
 OKLAHOMA       | Union City                   | town
 OKLAHOMA       | Webb City                    | town
 OKLAHOMA       | Wright City                  | town
 OREGON         | Canyon City                  | town
 OREGON         | Tri-City                     | CDP
 OREGON         | White City                   | CDP
 PENNSYLVANIA   | Broad Top City               | borough
 PENNSYLVANIA   | Central City                 | borough
 PENNSYLVANIA   | Dickson City                 | borough
 PENNSYLVANIA   | Ellwood City                 | borough
 PENNSYLVANIA   | Evans City                   | borough
 PENNSYLVANIA   | Fayette City                 | borough
 PENNSYLVANIA   | Ford City                    | borough
 PENNSYLVANIA   | Forest City                  | borough
 PENNSYLVANIA   | Grove City                   | borough
 PENNSYLVANIA   | Homer City                   | borough
 PENNSYLVANIA   | Karns City                   | borough
 PENNSYLVANIA   | Lake City                    | borough
 PENNSYLVANIA   | Lumber City                  | borough
 PENNSYLVANIA   | Mahanoy City                 | borough
 PENNSYLVANIA   | Spring City                  | borough
 PENNSYLVANIA   | Tower City                   | borough
 PENNSYLVANIA   | Union City                   | borough
 SOUTH CAROLINA | Garden City                  | CDP
 SOUTH DAKOTA   | Claire City                  | town
 SOUTH DAKOTA   | Garden City                  | town
 SOUTH DAKOTA   | Lake City                    | town
 SOUTH DAKOTA   | Mound City                   | town
 TENNESSEE      | Ashland City                 | town
 TENNESSEE      | Belinda City                 | CDP
 TENNESSEE      | Cumberland City              | town
 TENNESSEE      | Lake City                    | town
 TENNESSEE      | Maury City                   | town
 TENNESSEE      | Mountain City                | town
 TENNESSEE      | Spring City                  | town
 TENNESSEE      | Tracy City                   | town
 TEXAS          | Beach City                   | town
 TEXAS          | Caney City                   | town
 TEXAS          | Coffee City                  | town
 TEXAS          | Corral City                  | town
 TEXAS          | Denver City                  | town
 TEXAS          | Dodd City                    | town
 TEXAS          | Gary City                    | town
 TEXAS          | Gun Barrel City              | town
 TEXAS          | Horizon City                 | town
 TEXAS          | Karnes City                  | town
 TEXAS          | Lake City                    | town
 TEXAS          | Lakeside City                | town
 TEXAS          | Liberty City                 | CDP
 TEXAS          | Post Oak Bend City           | town
 TEXAS          | Rio Grande City              | CDP
 TEXAS          | Sullivan City                | CDP
 UTAH           | Bear River City              | town
 UTAH           | Garden City                  | town
 UTAH           | Oak City                     | town
 UTAH           | White City                   | CDP
 VIRGINIA       | Chase City                   | town
 VIRGINIA       | Dale City                    | CDP
 VIRGINIA       | Gate City                    | town
 VIRGINIA       | Pamplin City                 | town
 VIRGINIA       | Stephens City                | town
 VIRGINIA       | Weber City                   | town
 WASHINGTON     | Coulee City                  | town
 WASHINGTON     | Electric City                | town
 WASHINGTON     | Elmer City                   | town
 WASHINGTON     | Fall City                    | CDP
 WASHINGTON     | Navy Yard City               | CDP
 WEST VIRGINIA  | Coal City                    | CDP
 WEST VIRGINIA  | Hartford City                | town
 WEST VIRGINIA  | Star City                    | town
 WISCONSIN      | Bay City                     | village
 WISCONSIN      | Genoa City                   | village
 WISCONSIN      | Junction City                | village
 WISCONSIN      | Marathon City                | village
 WISCONSIN      | Plum City                    | village
 WISCONSIN      | Sauk City                    | village
(251 rows)

   state_name   | no_big_city | big_city_population 
----------------+-------------+---------------------
 ARIZONA        |           6 |             2096952
 CALIFORNIA     |          44 |            12711094
 COLORADO       |           4 |             1097334
 CONNECTICUT    |           5 |              628916
 FLORIDA        |           8 |             1625736
 ILLINOIS       |           4 |             3141883
 MASSACHUSETTS  |           4 |             1004464
 MICHIGAN       |           8 |             1958298
 MISSOURI       |           4 |             1084626
 NEW YORK       |           6 |             8335347
